District,State,Area_km2,Population
Surguja,Chhattisgarh,15732,"23,59,886"
Tamenglong,Manipur,4391,"1,40,651"
Tapi,Gujarat,3139,"8,07,022"
Tarn Taran,Punjab,2414,"11,19,627"
Tawang,Arunachal Pradesh,2172,"49,977"
Tehri Garhwal,Uttarakhand,3642,"6,18,931"
Thane,Maharashtra,9558,"1,10,60,148"
Thanjavur,Tamil Nadu,3411,"24,05,890"
The Dangs,Gujarat,1766,"2,28,291"
The Nilgiris,Tamil Nadu,2565,"7,35,394"
Theni,Tamil Nadu,2868,"12,45,899"
Thiruvallur,Tamil Nadu,3394,"37,28,104"
Thiruvananthapuram,Kerala,2189,"33,01,427"
Thiruvarur,Tamil Nadu,2274,"12,64,277"
Thoothukkudi,Tamil Nadu,4745,"17,50,176"
Thoubal,Manipur,514,"4,22,168"
Thrissur,Kerala,3027,"31,21,200"
Tikamgarh,Madhya Pradesh,5048,"14,45,166"
Tinsukia,Assam,3790,"13,27,929"
Tirap,Arunachal Pradesh,2362,"1,11,975"
Tiruchirappalli,Tamil Nadu,4509,"27,22,290"
Tirunelveli,Tamil Nadu,6693,"30,77,233"
Tiruppur,Tamil Nadu,5187,"24,79,052"
Tiruvannamalai,Tamil Nadu,6188,"24,64,875"
Tonk,Rajasthan,7194,"14,21,326"
Tuensang,Nagaland,2536,"1,96,596"
Tumkur,Karnataka,10597,"26,78,980"
Udaipur,Rajasthan,11724,"30,68,420"
Udalguri,Assam,2012,"8,31,668"
Udham Singh Nagar,Uttarakhand,2542,"16,48,902"
Udhampur,Jammu and Kashmir,2637,"5,54,985"
Udupi,Karnataka,3582,"11,77,361"
Ujjain,Madhya Pradesh,6091,"19,86,864"
Ukhrul,Manipur,4544,"1,83,998"
Umaria,Madhya Pradesh,4076,"6,44,758"
Una,Himachal Pradesh,1540,"5,21,173"
Unnao,Uttar Pradesh,4558,"31,08,367"
Upper Siang,Arunachal Pradesh,6590,"35,320"
Upper Subansiri,Arunachal Pradesh,7032,"83,448"
Uttar Dinajpur,West Bengal,3140,"30,07,134"
Uttara Kannada,Karnataka,10277,"14,37,169"
Uttarkashi,Uttarakhand,8016,"3,30,086"
Vadodara,Gujarat,7546,"41,65,626"
Vaishali,Bihar,2036,"34,95,021"
Valsad,Gujarat,3008,"17,05,678"
Varanasi,Uttar Pradesh,1535,"36,76,841"
Vellore,Tamil Nadu,6075,"39,36,331"
Vidisha,Madhya Pradesh,7371,"14,58,875"
Viluppuram,Tamil Nadu,7194,"34,58,873"
Virudhunagar,Tamil Nadu,4241,"19,42,288"
Visakhapatnam,Andhra Pradesh,11161,"42,90,589"
Vizianagaram,Andhra Pradesh,6539,"23,44,474"
Warangal,Andhra Pradesh,12846,"35,12,576"
Wardha,Maharashtra,6309,"13,00,774"
Washim,Maharashtra,4898,"11,97,160"
Wayanad,Kerala,2130,"8,17,420"
West,#N/A,130,"25,43,243"
West District,#N/A,1166,"1,36,435"
West Garo Hills,Meghalaya,3677,"6,43,291"
West Godavari,Andhra Pradesh,7742,"39,36,966"
West Kameng,Arunachal Pradesh,7422,"83,947"
West Khasi Hills,Meghalaya,5247,"3,83,461"
West Siang,Arunachal Pradesh,8325,"1,12,274"
West Tripura,Tripura,2993,"17,25,739"
Wokha,Nagaland,1628,"1,66,343"
Yadgir,Karnataka,5270,"11,74,271"
Yamunanagar,Haryana,1768,"12,14,205"
Yanam,Puducherry,30,"55,626"
Yavatmal,Maharashtra,13582,"27,72,348"
YSR,Andhra Pradesh,15359,"28,82,469"
Zunheboto,Nagaland,1255,"1,40,757"
