District,State,Area_km2,Population
Dungarpur,Rajasthan,3770,"13,88,552"
Durg,Chhattisgarh,8535,"33,43,872"
East,#N/A,63,"17,09,346"
East District,#N/A,954,"2,83,583"
East Garo Hills,Meghalaya,2603,"3,17,917"
East Godavari,Andhra Pradesh,10807,"51,54,296"
East Kameng,Arunachal Pradesh,4134,"78,690"
East Khasi Hills,Meghalaya,2748,"8,25,922"
East Siang,Arunachal Pradesh,3603,"99,214"
Ernakulam,Kerala,3063,"32,82,388"
Erode,Tamil Nadu,5760,"22,51,744"
Etah,Uttar Pradesh,2431,"17,74,480"
Etawah,Uttar Pradesh,2311,"15,81,810"
Faizabad,Uttar Pradesh,2341,"24,70,996"
Faridabad,Haryana,741,"18,09,733"
Faridkot,Punjab,1458,"6,17,508"
Farrukhabad,Uttar Pradesh,2181,"18,85,204"
Fatehabad,Haryana,2538,"9,42,011"
Fatehgarh Sahib,Punjab,1180,"6,00,163"
Fatehpur,Uttar Pradesh,4152,"26,32,733"
Firozabad,Uttar Pradesh,2407,"24,98,156"
Firozpur,Punjab,5305,"20,29,074"
Gadag,Karnataka,4657,"10,64,570"
Gadchiroli,Maharashtra,14412,"10,72,942"
Gajapati,Orissa,4325,"5,77,817"
Ganderbal,Jammu and Kashmir,259,"2,97,446"
Gandhinagar,Gujarat,2140,"13,91,753"
Ganganagar,Rajasthan,10978,"19,69,168"
Ganjam,Orissa,8206,"35,29,031"
Garhwa,Jharkhand,4093,"13,22,784"
Garhwal,#N/A,5329,"6,87,271"
Gautam Buddha Nagar,Uttar Pradesh,1282,"16,48,115"
Gaya,Bihar,4976,"43,91,418"
Ghaziabad,Uttar Pradesh,1179,"46,81,645"
Ghazipur,Uttar Pradesh,3377,"36,20,268"
Giridih,Jharkhand,4962,"24,45,474"
Goalpara,Assam,1824,"10,08,183"
Godda,Jharkhand,2266,"13,13,551"
Golaghat,Assam,3502,"10,66,888"
Gonda,Uttar Pradesh,4003,"34,33,919"
Gondiya,Maharashtra,5234,"13,22,507"
Gopalganj,Bihar,2033,"25,62,012"
Gorakhpur,Uttar Pradesh,3321,"44,40,895"
Gulbarga,Karnataka,10954,"25,66,326"
Gumla,Jharkhand,5360,"10,25,213"
Guna,Madhya Pradesh,6390,"12,41,519"
Guntur,Andhra Pradesh,11391,"48,87,813"
Gurdaspur,Punjab,3551,"22,98,323"
Gurgaon,Haryana,1258,"15,14,432"
Gwalior,Madhya Pradesh,4560,"20,32,036"
Hailakandi,Assam,1327,"6,59,296"
Hamirpur,Uttar Pradesh,1118,"4,54,768"
Hamirpur,Uttar Pradesh,4021,"11,04,285"
